ID,Type,On,Off
S1011,EMG,8:41:04,8:41:05
S1011,EMG,8:42:32,8:42:33
S1011,EMG,8:42:38,8:42:39
S1011,EMG,8:42:40,8:42:41
S1011,EMG,8:43:02,8:43:02
S1011,EMG,8:43:13,8:43:13
S1011,EMG,8:49:55,8:49:55
S1011,EMG,8:50:44,8:50:44
S1011,EMG,8:51:22,8:51:23
S1011,EMG,8:51:24,8:51:24
S1011,EMG,8:56:11,8:56:12
S1011,EMG,8:56:23,8:56:23
S1011,EMG,9:05:54,9:05:54
S1011,EMG,9:09:48,9:09:48
S1011,EMG,9:10:59,9:11:00
S1011,EMG,9:14:18,9:14:19
S1011,EMG,9:15:12,9:15:12
S1011,EMG,9:15:24,9:15:25
S1011,EMG,9:15:29,9:15:30
S1011,EMG,9:18:32,9:18:32
S1011,EMG,9:30:36,9:30:37
S1011,EMG,9:32:30,9:32:31
S1011,EMG,9:41:34,9:41:36
S1011,EMG,9:42:21,9:42:22
S1011,EMG,9:45:54,9:45:54
S1012,tGUI,9:33:21,9:33:24
S1012,tGUI,9:33:25,9:33:45
S1012,tGUI,9:33:51,9:34:13
S1012,tGUI,9:34:58,9:35:09
S1012,tGUI,9:35:21,9:35:29
S1012,tGUI,9:35:30,9:35:39
S1012,tGUI,9:35:54,9:35:58
S1012,tGUI,9:36:21,9:36:40
S1012,tGUI,9:36:51,9:37:12
S1012,tGUI,9:37:21,9:37:33
S1012,tGUI,9:37:51,9:38:17
S1012,tGUI,9:38:49,9:38:51
S1012,tGUI,9:38:52,9:39:02
S1012,tGUI,9:39:21,9:39:29
S1012,tGUI,9:39:51,9:40:16
S1012,tGUI,9:40:51,9:41:00
S1012,tGUI,9:42:21,9:42:29
S1012,tGUI,9:42:50,9:42:59
S1012,tGUI,9:42:59,9:43:06
S1012,tGUI,9:43:32,9:43:34
S1012,tGUI,9:44:21,9:44:51
S1012,tGUI,9:46:21,9:46:33
S1012,tGUI,9:47:51,9:47:54
S1012,tGUI,9:48:39,9:48:40
S1012,tGUI,9:50:21,9:50:27
S1012,tGUI,9:52:21,9:52:31
S1012,tGUI,9:52:34,9:52:38
S1012,tGUI,9:53:34,9:53:37
S1012,tGUI,9:54:21,9:54:28
S1012,tGUI,9:55:51,9:56:06
S1012,tGUI,9:56:07,9:56:15
S1012,tGUI,9:57:21,9:57:40
S1012,tGUI,9:57:51,9:58:13
S1012,tGUI,9:59:51,10:00:09
S1012,tGUI,10:02:21,10:02:51
S1012,tGUI,10:03:51,10:03:58
S1012,tGUI,10:03:59,10:03:59
S1012,tGUI,10:04:00,10:04:09
